Ticker,RMSE_+1,MAE_+1,R2_+1,RMSE_+3,MAE_+3,R2_+3,RMSE_+7,MAE_+7,R2_+7,Model
AAPL,3.3187678471373,2.6460547290926555,0.4998489129391537,4.150585898617508,3.4235038757124134,0.26340194294204566,5.308554993545515,4.691488958506942,0.21191647373875055,SARIMA
AMZN,4.762932209157055,3.195510351260183,-1.2903810879821793,5.359741704102853,4.047132057974234,-2.351453950190725,4.349272125350742,3.1715084835337213,-1.286991513244062,SARIMA
BA,11.909461047570982,8.387269873871245,0.7739168285654463,16.813063202254543,13.230934909564079,0.36645106495036794,27.806000284902318,22.33076908860251,-2.678344691436196,SARIMA
DIS,6.863034110258118,4.580087134580116,0.7769957211456621,8.831804475560357,6.507121117094371,0.6019912380788118,12.255212860177537,10.094946253140252,0.2652958633070812,SARIMA
MSFT,5.545710139578964,3.8685147317037702,-0.9565455972300345,6.699407045047599,4.838773686610211,-1.8972337903591971,6.461419174128641,5.220593996162746,-1.3902541455966833,SARIMA
AAPL,4.180146655780123,3.03547461130919,0.20653000826960488,4.69636238251076,3.7122923152091136,0.056949482048475386,5.8703585057612555,4.669124031983333,0.03628447109339972,SARIMA_Hyperopt
AMZN,4.634765861437569,2.9958562528505475,-1.1687752443238173,5.415713753362173,3.9985185701733386,-2.421818251338241,4.3830320041717865,3.277885019464391,-1.3226334357909821,SARIMA_Hyperopt
BA,14.815411032601492,11.78716077694434,0.6501261936240373,20.328463841430207,17.65012035462173,0.07381957608229006,31.28067423740845,27.589079315723538,-3.655084716453713,SARIMA_Hyperopt
DIS,7.826640990074299,5.8915833776928075,0.7099774895922466,9.387143718312801,7.2491013653883005,0.5503644144081943,13.315390137666615,11.72223401657854,0.13268160254172057,SARIMA_Hyperopt
MSFT,5.23124477293366,3.7838760070206376,-0.7409476961268444,5.459010464560946,3.976312872044084,-0.923705843127457,5.2920366773466,4.553741105349677,-0.6033706844917359,SARIMA_Hyperopt
AAPL,4.321396143187723,3.7233671210780748,-0.009101457812872082,5.637724211842528,4.878501258119941,-0.9053481855840477,7.949461305882364,7.073282182931902,-1.878696434578881,LSTM
AMZN,2.2465746200109673,1.8512152895271725,-0.2515026765128259,1.858963002375866,1.4452031049087608,0.04084572662444441,2.776465914686359,2.1963148128241317,0.10743708203930069,LSTM
BA,10.503590898340079,9.349938949942587,-0.6380046836316304,14.929688234108996,13.228614486098285,-2.3279885625967363,22.85469348512063,21.164362871110434,-7.268078624501882,LSTM
DIS,12.631072982935937,11.030161295890803,-0.48768823492381785,13.261803261006184,11.653080588340758,-0.5948082448683034,22.927420648284297,22.047979425907133,-4.304850731826621,LSTM
MSFT,3.351280849240171,2.5737531809806753,-0.02565416181671676,3.7457727798606943,2.9392551931440876,-0.01886421298105012,4.282947427924525,3.791370063602925,0.0876423741135468,LSTM
AAPL,4.829390380477286,4.216982215732337,-0.26029234694003134,5.406221212196776,4.64094973281026,-0.752081568733906,7.272843461304507,6.222124031752349,-1.4095112062425224,LSTM_Hyperopt
AMZN,2.5287624845320495,2.0487700290307402,-0.5856457433110975,2.5674854394983297,2.040189734987911,-0.8296286488266191,2.978713745491284,2.3909906163513623,-0.027334059001971056,LSTM_Hyperopt
BA,11.36989384710847,10.247446465492247,-0.9193419822869102,19.882826703246952,16.007986919403077,-4.9025082404728355,20.389568002035887,15.937004397630693,-5.580665931812391,LSTM_Hyperopt
DIS,7.106891536735385,4.46666001653671,0.5290326350764405,12.673676724341709,10.826269271373747,-0.45649353316679564,21.54806202868493,20.538126297473905,-3.685750975175033,LSTM_Hyperopt
MSFT,3.058373356698958,2.554695237785586,0.14579855785144802,3.7178751021862935,3.244698128700267,-0.0037441832949298703,4.0141568213434855,3.50331012532115,0.19856502843602963,LSTM_Hyperopt
